#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-12-07T20:02:09 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-07T20:02:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/50/catalog&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=B-V&-out=SpType&-out=NoteFlag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	NoteFlag	(A1)	[*] a star indicates that there is a note (see file notes)	[ucd=meta.note]
_RAJ2000|_DEJ2000|HR|Name|HD|ADS|VarID|RAJ2000|DEJ2000|Vmag|B-V|SpType|NoteFlag
056.200833|+24.289444|1140| 16    Tau| 23288|     | 1262    |03 44 48.2|+24 17 22| 5.46|-0.04|  B7IV              |*
056.497083|+45.681944|1141|          | 23300| 2746|         |03 45 59.3|+45 40 55| 5.66|-0.07|  B6V               |*
056.218750|+24.113333|1142| 17    Tau| 23302|     |         |03 44 52.5|+24 06 48| 3.70|-0.11|  B6III             |*
055.708750|-37.313611|1143|          | 23319|     |         |03 42 50.1|-37 18 49| 4.59| 1.20|  K2.5III           |
056.290417|+24.839167|1144| 18    Tau| 23324|     |         |03 45 09.7|+24 50 21| 5.64|-0.07|  B8V               |*
056.302083|+24.467222|1145| 19    Tau| 23338|     | 1264    |03 45 12.5|+24 28 02| 4.30|-0.11|  B6IV              |*
056.127083| -1.163056|1146| 24    Eri| 23363|     |         |03 44 30.5|-01 09 47| 5.25|-0.10|  B7V               |
056.884167|+55.922500|1147|          | 23383|     |         |03 47 32.2|+55 55 21| 6.10|-0.03|  B9Vnn             |
057.589583|+71.332222|1148|   Gam Cam| 23401|     |         |03 50 21.5|+71 19 56| 4.63| 0.03|  A2IVn             |
056.456667|+24.367778|1149| 20    Tau| 23408|     | 1279    |03 45 49.6|+24 22 04| 3.87|-0.07|  B8III             |*
056.235417| -0.296667|1150| 25    Eri| 23413|     |         |03 44 56.5|-00 17 48| 5.55| 1.42|  K4III             |*
056.476667|+24.554722|1151| 21    Tau| 23432|     | 1283    |03 45 54.4|+24 33 17| 5.76|-0.04|  B8V               |*
056.512083|+24.528056|1152| 22    Tau| 23441|     |         |03 46 02.9|+24 31 41| 6.43|-0.02|  A0Vn              |*
056.418333| +6.050000|1153| 29    Tau| 23466| 2750|         |03 45 40.4|+06 03 00| 5.35|-0.12|  B3V               |*
054.125000|-78.323056|1154|          | 23474|     |         |03 36 30.0|-78 19 23| 6.29| 1.15|  K2III             |
057.380000|+65.526111|1155|          | 23475|     |BE Cam   |03 49 31.2|+65 31 34| 4.47| 1.88|  M2+IIab           |*
056.581667|+23.948333|1156| 23    Tau| 23480|     |V971 Tau |03 46 19.6|+23 56 54| 4.18|-0.06|  B6IVe             |*
056.025833|-40.660278|1157|          | 23508|     |         |03 44 06.2|-40 39 37| 6.45| 1.06|  K1III             |*
057.402917|+63.297222|1158|          | 23523|     |         |03 49 36.7|+63 17 50| 5.85| 0.18|  A5Vn              |
056.539583| +6.803056|1159|          | 23526|     |         |03 46 09.5|+06 48 11| 5.91| 0.99|  G9III             |
057.076250|+50.736667|1160|          | 23552| 2769|         |03 48 18.3|+50 44 12| 6.14| 0.06|  B8Vne             |*
057.331667|+57.118056|1161|          | 23594|     |         |03 49 19.6|+57 07 05| 6.46| 0.06|  A0Vn              |
056.535417|-12.101667|1162| 26Pi  Eri| 23614|     |Pi  Eri  |03 46 08.5|-12 06 06| 4.42| 1.63|  M2III             |*
056.969167|+33.600000|1163|          | 23625| 2772| 1305    |03 47 52.6|+33 36 00| 6.57| 0.08|  B2.5V             |*
056.953750|+32.195000|1164|          | 23626|     |         |03 47 48.9|+32 11 42| 6.25| 0.47|  G0                |
056.871250|+24.105000|1165| 25Eta Tau| 23630|     |         |03 47 29.1|+24 06 18| 2.87|-0.09|  B7IIIe            |*
057.924167|+68.507500|1166|          | 23662|     |         |03 51 41.8|+68 30 27| 6.32|-0.08|  B9IVp             |
056.210833|-48.061389|1167|          | 23670|     |         |03 44 50.6|-48 03 41| 6.49| 1.02|  G8-K0III          |
056.140833|-54.273889|1168|          | 23697|     |         |03 44 33.8|-54 16 26| 6.30| 1.04|  K1III             |
056.315833|-47.359722|1169|          | 23719|     |         |03 45 15.8|-47 21 35| 5.73| 0.96|  K1III             |
057.284167|+43.963056|1170|          | 23728|     |V376 Per |03 49 08.2|+43 57 47| 6.02| 0.29|  A9IV              |*
056.614167|-29.338056|1171|   Sig For| 23738|     |         |03 46 27.4|-29 20 17| 5.90| 0.12|  A3V               |*
057.087083|+23.421111|1172|          | 23753|     | 1321    |03 48 20.9|+23 25 16| 5.45|-0.07|  B8V               |*
056.712083|-23.249722|1173| 27Tau6Eri| 23754|     |         |03 46 50.9|-23 14 59| 4.23| 0.42|  F3III             |
057.067917|+11.143333|1174| 30    Tau| 23793| 2778| 1327    |03 48 16.3|+11 08 36| 5.07|-0.13|  B3V+F5V           |*
056.050000|-64.806944|1175|   Bet Ret| 23817|     |         |03 44 12.0|-64 48 25| 3.85| 1.13|  K2+III            |*
057.518750|+44.967778|1176|          | 23838|     |Var?     |03 50 04.5|+44 58 04| 5.66| 0.76|  G2III+F2:V        |*
057.385833|+33.091389|1177| 42    Per| 23848|     |V467 Per |03 49 32.6|+33 05 29| 5.11| 0.07|  A3V               |*
057.290417|+24.053333|1178| 27    Tau| 23850| 2786| 1345    |03 49 09.7|+24 03 12| 3.63|-0.09|  B8III             |*
056.833750|-29.901944|1179|          | 23856|     |         |03 47 20.1|-29 54 07| 6.55| 0.49|  F8V               |
057.296667|+24.136667|1180| 28    Tau| 23862|     |BU Tau   |03 49 11.2|+24 08 12| 5.09|-0.08|  B8Vpe             |*
056.915000|-23.874722|1181| 28Tau7Eri| 23878|     |Var      |03 47 39.6|-23 52 29| 5.24| 0.07|  A2                |*
057.162083| +0.227778|1182|          | 23887|     |         |03 48 38.9|+00 13 40| 5.91| 1.23|  K3III             |
057.431250|+23.711667|1183|          | 23923|     |         |03 49 43.5|+23 42 42| 6.17|-0.05|  B8V               |*
056.983333|-30.167778|1184|   Rho For| 23940|     | 1337    |03 47 56.0|-30 10 04| 5.54| 0.98|  G6III             |
057.479167|+22.244444|1185|          | 23950|     |         |03 49 55.0|+22 14 40| 6.07|-0.01|  B8III             |*
056.956667|-36.105833|1186|          | 23958|     |         |03 47 49.6|-36 06 21| 6.21|-0.10|  B8V               |
057.149167|-20.903056|1187|          | 23978|     |         |03 48 35.8|-20 54 11| 5.81| 1.64|  K5III             |
057.578750|+25.579444|1188|          | 23985| 2799| 1366    |03 50 18.9|+25 34 46| 5.26| 0.21|  A2V+A5V           |*
057.147500|-37.622222|1189|          | 24071|     |         |03 48 35.4|-37 37 20| 5.40| 0.01|  A1V               |*
057.149583|-37.620556|1190|          | 24072|     | 1359    |03 48 35.9|-37 37 14| 4.73|-0.03|  B9V               |*
057.973750|+34.359167|1191|          | 24131|     |         |03 51 53.7|+34 21 33| 5.77| 0.00|  B1V               |*
058.430417|+57.975000|1192|          | 24141|     |         |03 53 43.3|+57 58 30| 5.80| 0.18|  A5m               |
057.902500|+22.031667|1193|          | 24154|     |         |03 51 36.6|+22 01 54| 6.83|     |  K0III             |*
057.815833|+13.045833|1194|          | 24155|     |V766 Tau |03 51 15.8|+13 02 45| 6.30|-0.07|  B9pSi             |*
057.363750|-36.200278|1195|          | 24160|     |         |03 49 27.3|-36 12 01| 4.17| 0.95|  G9II-III          |*
059.125833|+71.821667|1196|          | 24164|     |         |03 56 30.2|+71 49 18| 6.34| 0.30|  A5m               |
058.017917|+31.168333|1197|          | 24167|     |         |03 52 04.3|+31 10 06| 6.25| 0.20|  A5V               |*
058.411250|+48.650556|1198|          | 24240|     |         |03 53 38.7|+48 39 02| 5.76| 1.05|  K0III             |
058.000833| +6.534722|1199| 31    Tau| 24263|     |         |03 52 00.2|+06 32 05| 5.67| 0.06|  B5V               |
057.656667|-36.425278|1200|          | 24305|     |         |03 50 37.6|-36 25 31| 6.86|-0.04|  B9.5V             |
058.291667|+17.326944|1201|          | 24357|     |         |03 53 10.0|+17 19 37| 5.97| 0.34|  F4V               |*
058.173333| -5.361389|1202| 30    Eri| 24388| 2832|         |03 52 41.6|-05 21 41| 5.48|-0.10|  B8V               |*
058.532917|+31.883611|1203| 44Zet Per| 24398| 2843| 1397    |03 54 07.9|+31 53 01| 2.85| 0.12|  B1Ib              |*
059.356250|+63.072222|1204|          | 24479|     |         |03 57 25.5|+63 04 20| 5.03|-0.09|  B9.5V             |
059.284583|+61.108889|1205|          | 24480| 2867|         |03 57 08.3|+61 06 32| 5.00| 1.45|  K3I-II+A3V:       |*
058.304167|-18.434444|1206|          | 24497|     |         |03 53 13.0|-18 26 04| 6.22| 0.88| gK+F               |*
058.992500|+47.871389|1207|          | 24504|     |         |03 55 58.2|+47 52 17| 5.37|-0.08|  B6V               |*
056.809583|-74.238889|1208|   Gam Hyi| 24512|     |         |03 47 14.3|-74 14 20| 3.24| 1.62|  M2III             |*
058.845833|+31.045833|1209|          | 24534| 2859|X Per    |03 55 23.0|+31 02 45| 6.10| 0.29|  O9.5ep            |*
059.152083|+50.695278|1210| 43    Per| 24546|     |         |03 56 36.5|+50 41 43| 5.28| 0.41|  F5IV              |*
058.572500| -2.952778|1211| 32    Eri| 24554| 2850|         |03 54 17.4|-02 57 10| 6.14| 0.09|  A2V               |*
058.572917| -2.954722|1212| 32    Eri| 24555| 2850|         |03 54 17.5|-02 57 17| 4.79| 0.94|  G8III             |*
058.427500|-24.612500|1213| 33Tau8Eri| 24587|     |Tau8 Eri |03 53 42.6|-24 36 45| 4.65|-0.13|  B6V               |
058.412083|-34.732222|1214|          | 24626|     |         |03 53 38.9|-34 43 56| 5.11|-0.13|  B6V               |
059.119583|+35.081111|1215|          | 24640|     | 1418    |03 56 28.7|+35 04 52| 5.49|-0.03|  B1.5V             |*
058.388750|-46.893611|1216|          | 24706|     |         |03 53 33.3|-46 53 37| 5.93| 1.24|  K2III             |*
058.817917|-12.099167|1217|          | 24712|     |DO Eri   |03 55 16.3|-12 05 57| 6.00| 0.32|  A5pSrCrEu         |*
059.217083|+22.478056|1218| 32    Tau| 24740|     |         |03 56 52.1|+22 28 41| 5.63| 0.30|  F2IV              |
058.596667|-40.357222|1219|          | 24744|     | 1414    |03 54 23.2|-40 21 26| 5.71| 0.60|  K0III+A3V         |*
059.463333|+40.010278|1220| 45Eps Per| 24760| 2888|Eps Per  |03 57 51.2|+40 00 37| 2.89|-0.18|  B0.5V+A2V         |*
059.265833|+23.175556|1221| 33    Tau| 24769|     |V817 Tau |03 57 03.8|+23 10 32| 6.06| 0.02|  B9.5IV            |*
059.360000|+24.461944|1222|          | 24802|     |         |03 57 26.4|+24 27 43| 6.16| 1.37|  K0                |
059.512917|+34.814444|1223|          | 24809|     |V386 Per |03 58 03.1|+34 48 52| 6.53| 0.23|  A8V               |*
059.257083| +6.040000|1224|          | 24817|     |         |03 57 01.7|+06 02 24| 6.09| 0.06|  A2Vn              |
059.157917| -9.750833|1225|          | 24832|     |DL Eri   |03 56 37.9|-09 45 03| 6.19| 0.28|  F1V               |*
059.621250|+38.840278|1226|          | 24843|     |         |03 58 29.1|+38 50 25| 6.30| 1.08| gK1                |
058.641667|-52.690556|1227|          | 24863|     | 1419    |03 54 34.0|-52 41 26| 6.46| 0.16|  A4V               |*
059.741250|+35.791111|1228| 46Xi  Per| 24912|     |Xi  Per  |03 58 57.9|+35 47 28| 4.04| 0.01|  O7.5III(n)((f))   |*
059.916667|+38.820556|1229|          | 24982| 2910|         |03 59 40.0|+38 49 14| 6.38| 0.10|  A1Vp:             |
062.511667|+80.698611|1230|          | 25007| 2963|         |04 10 02.8|+80 41 55| 5.10| 0.56|  G8III+A6V         |*
059.507500|-13.508611|1231| 34Gam Eri| 25025| 2904|Gam Eri  |03 58 01.8|-13 30 31| 2.95| 1.59|  M0.5IIICa-1Cr-1   |*
059.717917| -5.470000|1232|          | 25069|     |         |03 58 52.3|-05 28 12| 5.83| 1.00|  G9V               |
059.919583|+10.330833|1233|          | 25102|     |         |03 59 40.7|+10 19 51| 6.37| 0.42|  F5V               |*
060.311250|+36.990000|1234|          | 25152|     |         |04 01 14.7|+36 59 24| 6.41|-0.01|  A0V               |*
059.875417|-12.574167|1235|          | 25165|     |         |03 59 30.1|-12 34 27| 5.60| 1.48|  K5III             |
059.016667|-63.463611|1236|          | 25170|     |         |03 56 04.0|-63 27 49| 6.14| 1.10|  K1-2III           |
060.153750|+17.296667|1237|          | 25175|     |         |04 00 36.9|+17 17 48| 6.32| 0.06|  A0V               |
060.203333|+18.193889|1238|          | 25202|     |         |04 00 48.8|+18 11 38| 5.89| 0.32|  F4V               |*
060.170000|+12.490278|1239| 35Lam Tau| 25204|     |Lam Tau  |04 00 40.8|+12 29 25| 3.47|-0.12|  B3V+A4IV          |*
059.981250|-24.016389|1240| 36Tau9Eri| 25267|     |Tau9 Eri |03 59 55.5|-24 00 59| 4.66|-0.13|  B6V+B9.5V         |*
061.512917|+68.680000|1241|          | 25274|     |         |04 06 03.1|+68 40 48| 5.87| 1.54|  K2III             |
061.113333|+59.155556|1242|          | 25291|     |         |04 04 27.2|+59 09 20| 5.06| 0.50|  F0II              |
060.442083| +9.997778|1243|          | 25330| 2938|         |04 01 46.1|+09 59 52| 5.67| 0.02|  B5V               |*
060.383333| -1.549722|1244| 35    Eri| 25340|     |         |04 01 32.0|-01 32 59| 5.28|-0.15|  B5V               |*
059.678750|-57.102500|1245|          | 25346|     |         |03 58 42.9|-57 06 09| 6.05| 0.44|  F2IV              |
060.169583|-30.490833|1246|          | 25371|     |         |04 00 40.7|-30 29 27| 5.93| 0.04|  A2V               |
059.686250|-61.400278|1247|   Del Ret| 25422|     |         |03 58 44.7|-61 24 01| 4.56| 1.62|  M2IIIab           |
061.662500|+65.520833|1248|          | 25425|     |         |04 06 39.0|+65 31 15| 6.17| 0.14|  A3m               |
060.652917| -0.268889|1249|          | 25457|     |         |04 02 36.7|-00 16 08| 5.38| 0.50|  F5V               |
060.065417|-51.564722|1250|          | 25470|     |XY Dor   |04 00 15.7|-51 33 53| 6.51| 1.64|  M1III             |*
060.789167| +5.989167|1251| 38Nu  Tau| 25490|     |         |04 03 09.4|+05 59 21| 3.91| 0.03|  A1V               |
061.090417|+24.105833|1252| 36    Tau| 25555| 2965|         |04 04 21.7|+24 06 21| 5.47| 0.86|  G0III+A4V         |*
060.935833| +5.435556|1253| 40    Tau| 25558|     |         |04 03 44.6|+05 26 08| 5.33|-0.08|  B3V               |*
060.985833| +8.197222|1254|          | 25570|     |         |04 03 56.6|+08 11 50| 5.46| 0.37|  F2V               |*
061.652500|+54.008611|1255|          | 25602|     |         |04 06 36.6|+54 00 31| 6.31| 0.99|  K0III-IV          |
061.173750|+22.081944|1256| 37    Tau| 25604|     |         |04 04 41.7|+22 04 55| 4.36| 1.07|  K0+III-IIIaFe-0.2 |*
061.041250| +2.826944|1257|          | 25621|     |         |04 04 09.9|+02 49 37| 5.36| 0.50|  F6IV              |*
060.852917|-20.144167|1258|          | 25631|     |Var?     |04 03 24.7|-20 08 39| 6.46|-0.18|  B2.5V             |*
060.903333|-20.158333|1259|          | 25661|     |         |04 03 36.8|-20 09 30| 7.01| 1.22|  K2II              |
061.962917|+62.330000|1260|          | 25638| 2984|SZ Cam   |04 07 51.1|+62 19 48| 6.99| 0.42|  B0III             |*
061.645833|+50.351389|1261| 47Lam Per| 25642|     |         |04 06 35.0|+50 21 05| 4.29| 0.02|  A0IVn             |
061.334167|+22.008889|1262| 39    Tau| 25680|     | 1452    |04 05 20.2|+22 00 32| 5.90| 0.62|  G5V               |*
061.036250|-16.588889|1263|          | 25700|     |         |04 04 08.7|-16 35 20| 6.39| 1.26|  K2                |
060.224167|-62.159444|1264|   Gam Ret| 25705|     |Gam Ret  |04 00 53.8|-62 09 34| 4.51| 1.65|  M4III             |*
061.094583|-12.792500|1265|          | 25723|     |         |04 04 22.7|-12 47 33| 5.61| 1.08| gK0                |
060.325833|-61.078889|1266|   Iot Ret| 25728|     |         |04 01 18.2|-61 04 44| 4.97| 1.42|  K4III             |*
061.170833|-20.381667|1267|          | 25803|     |         |04 04 41.0|-20 22 54| 6.13| 1.16|  K0                |
061.651667|+27.600000|1268| 41    Tau| 25823|     |GS Tau   |04 06 36.4|+27 36 00| 5.20|-0.13|  B9pSi             |*
061.752083|+29.001389|1269| 42Psi Tau| 25867|     |         |04 07 00.5|+29 00 05| 5.23| 0.34|  F1V               |
062.365000|+59.908056|1270|          | 25877|     |         |04 09 27.6|+59 54 29| 6.28| 1.14|  G8IIa             |
055.633750|-85.262222|1271|          | 25887|     |         |03 42 32.1|-85 15 44| 6.41|-0.01|  B9.5IV            |
061.485417| -8.856111|1272|          | 25910|     |         |04 05 56.5|-08 51 22| 6.26| 0.06|  A3V               |
062.165417|+47.712500|1273| 48    Per| 25940|     |MX Per   |04 08 39.7|+47 42 45| 4.04|-0.03|  B3Ve              |*
061.444583|-20.512222|1274|          | 25944|     |         |04 05 46.7|-20 30 44| 6.34| 0.92|  G5                |
061.405833|-27.651667|1275|          | 25945|     |         |04 05 37.4|-27 39 06| 5.59| 0.31|  F1IV              |
062.343333|+54.828889|1276|          | 25948|     |         |04 09 22.4|+54 49 44| 6.18|     |  F5V               |
062.063750|+37.727778|1277| 49    Per| 25975|     |         |04 08 15.3|+37 43 40| 6.09| 0.95|  K1III             |
062.152500|+38.039722|1278| 50    Per| 25998|     |         |04 08 36.6|+38 02 23| 5.51| 0.46|  F7V               |*
061.925000|+15.162778|1279|          | 26015| 2999| 1466    |04 07 42.0|+15 09 46| 6.01| 0.40|  F3V               |*
061.997500|+17.339722|1280|          | 26038| 3006|         |04 07 59.4|+17 20 23| 5.89| 1.50|  K5IIIb            |*
063.437083|+72.126389|1281|          | 26076|     |         |04 13 44.9|+72 07 35| 6.03| 1.01|  K1III             |
063.215000|+68.501667|1282|          | 26101|     |         |04 12 51.6|+68 30 06| 6.32| 1.18|  K0                |
062.291667|+19.609167|1283| 43Ome1Tau| 26162|     |         |04 09 10.0|+19 36 33| 5.50| 1.07|  K2III             |
062.256667|+13.398333|1284|          | 26171|     |         |04 09 01.6|+13 23 54| 5.95| 0.05|  B9.5V             |
061.854583|-42.916944|1285|          | 26262|     |         |04 07 25.1|-42 55 01| 6.59| 0.93|  K0III             |
062.745833|+33.586667|1286|          | 26311|     |         |04 10 59.0|+33 35 12| 5.72| 1.44|  K1II-III          |
062.707917|+26.480833|1287| 44    Tau| 26322|     |IM Tau   |04 10 49.9|+26 28 51| 5.41| 0.34|  F2IV-V            |*
062.324167|-16.385833|1288|          | 26326|     |         |04 09 17.8|-16 23 09| 5.37|-0.15|  B4V               |
067.054167|+83.807778|1289|          | 26356|     |         |04 28 13.0|+83 48 28| 5.57|-0.13|  B5V               |*
062.593750| -6.923889|1290| 37    Eri| 26409|     |         |04 10 22.5|-06 55 26| 5.44| 0.94|  G8III             |
062.141250|-45.864722|1291|          | 26413|     |         |04 08 33.9|-45 51 53| 6.59| 0.38|  F2V               |
062.834583| +5.523056|1292| 45    Tau| 26462|     |         |04 11 20.3|+05 31 23| 5.72| 0.36|  F4V               |*
062.698750| -8.819722|1293|          | 26464|     |         |04 10 47.7|-08 49 11| 5.70| 1.06| gG9                |
061.840000|-64.222500|1294|          | 26491|     |         |04 07 21.6|-64 13 21| 6.38| 0.64|  G3V               |
063.130833|+17.277500|1295|          | 26546|     |         |04 12 31.4|+17 16 39| 6.09| 1.08|  K0III             |
063.757500|+57.460278|1296|          | 26553|     |Var?     |04 15 01.8|+57 27 37| 6.08| 0.61|  A4III             |*
063.213333|+22.413611|1297|          | 26571|     |         |04 12 51.2|+22 24 49| 6.12| 0.19|  B9IIIp:Si:        |*
062.966250| -6.837500|1298| 38Omi1Eri| 26574|     |Omi1 Eri |04 11 51.9|-06 50 15| 4.04| 0.33|  F2II-III          |*
062.690833|-35.273889|1299|          | 26575|     |         |04 10 45.8|-35 16 26| 6.44| 1.07|  K1+IIIaCH-1.5     |*
062.900833|-20.356111|1300|          | 26591|     |         |04 11 36.2|-20 21 22| 5.79| 0.18|  A2m               |*
063.498333|+37.966944|1301|          | 26605|     |         |04 13 59.6|+37 58 01| 6.45|     |  G9III             |
062.710833|-41.993611|1302|   Del Hor| 26612|     |         |04 10 50.6|-41 59 37| 4.93| 0.33|  A9V               |*
063.724583|+48.409444|1303| 51Mu  Per| 26630| 3071| 1518    |04 14 53.9|+48 24 34| 4.14| 0.95|  G0Ib              |*
067.500417|+83.340556|1304|          | 26659|     |         |04 30 00.1|+83 20 26| 5.46| 0.87|  G8III             |
064.223333|+61.850278|1305|          | 26670|     |         |04 16 53.6|+61 51 01| 5.70|-0.14|  B5Vn              |
063.722083|+40.483611|1306| 52    Per| 26673|     |         |04 14 53.3|+40 29 01| 4.71| 1.01|  G5Ib+A2V          |*
063.395000|+10.212222|1307|          | 26676|     |         |04 13 34.8|+10 12 44| 6.23| 0.05|  B8Vn              |*
063.380417| +8.890556|1308|          | 26677| 3063|         |04 13 31.3|+08 53 26| 6.51| 0.16|  A2m               |*
063.387917| +7.716111|1309| 46    Tau| 26690| 3064|         |04 13 33.1|+07 42 58| 5.29| 0.36|  F2V+F5V           |*
063.457917|+12.753333|1310|          | 26703|     |         |04 13 49.9|+12 45 12| 6.25| 1.16|  K0                |*
063.485000| +9.263611|1311| 47    Tau| 26722| 3072|         |04 13 56.4|+09 15 49| 4.84| 0.80|  G5III+A7V?        |*
063.409167| -1.149722|1312|          | 26739|     |         |04 13 38.2|-01 08 59| 6.44|-0.13|  B5IV              |
064.284167|+57.860556|1313|          | 26755|     |         |04 17 08.2|+57 51 38| 5.71| 1.09|  K1III             |
064.179583|+53.611944|1314|          | 26764|     |         |04 16 43.1|+53 36 43| 5.19| 0.05|  A2Vn              |
063.651250|+10.011111|1315|          | 26793|     |         |04 14 36.3|+10 00 40| 5.22|-0.10|  B9Vn              |
063.131667|-44.368333|1316|          | 26820|     |         |04 12 31.6|-44 22 06| 6.71| 1.48|  K3-4III           |
066.761667|+80.824167|1317|          | 26836|     |         |04 27 02.8|+80 49 27| 5.43| 1.17| gG6                |
063.598750|-10.256389|1318| 39    Eri| 26846| 3079|         |04 14 23.7|-10 15 23| 4.87| 1.17|  K3III             |*
063.942917|+15.400556|1319| 48    Tau| 26911|     | 1537    |04 15 46.3|+15 24 02| 6.32| 0.40|  F5V               |*
063.883750| +8.892222|1320| 49Mu  Tau| 26912|     |         |04 15 32.1|+08 53 32| 4.29|-0.06|  B3IV              |*
063.857500| +6.199722|1321|          | 26913| 3085|V891 Tau |04 15 25.8|+06 11 59| 6.93| 0.70|  G5IV              |*
063.871667| +6.186667|1322|          | 26923| 3085|V774 Tau |04 15 29.2|+06 11 12| 6.31| 0.59|  G0IV              |*
063.398750|-40.357778|1323|          | 26927|     |         |04 13 35.7|-40 21 28| 6.37| 1.46|  K3III             |
064.560833|+50.295556|1324|          | 26961|     |b Per    |04 18 14.6|+50 17 44| 4.61| 0.04|  A2V               |*
063.817917| -7.652778|1325| 40Omi2Eri| 26965| 3093|DY Eri   |04 15 16.3|-07 39 10| 4.43| 0.82|  K1-V              |*
063.500417|-42.294444|1326|   Alp Hor| 26967|     |         |04 14 00.1|-42 17 40| 3.86| 1.10|  K1III             |*
065.167917|+65.140556|1327|          | 27022|     |         |04 20 40.3|+65 08 26| 5.27| 0.81|  G5IIb             |*
064.534167|+42.141111|1328|          | 27026|     |         |04 18 08.2|+42 08 28| 6.22|-0.08|  B9V               |
064.315000|+20.578611|1329| 50Ome2Tau| 27045|     |Var?     |04 17 15.6|+20 34 43| 4.94| 0.26|  A3m               |*
064.805417|+50.048889|1330|          | 27084|     |         |04 19 13.3|+50 02 56| 5.45| 0.22|  A7V               |*
064.596667|+21.579167|1331| 51    Tau| 27176|     |         |04 18 23.2|+21 34 45| 5.65| 0.28|  F0V               |*
064.330000| -6.471944|1332|          | 27179|     |         |04 17 19.2|-06 28 19| 5.94| 1.08| gG8                |
065.047917|+50.920833|1333|          | 27192|     | 1550    |04 20 11.5|+50 55 15| 5.55|-0.01|  B1.5IV            |*
064.602083| +9.486667|1334|          | 27236|     |         |04 18 24.5|+09 29 12| 6.54| 0.16|  A4III             |
065.448333|+60.735556|1335|          | 27245|     | 1558    |04 21 47.6|+60 44 08| 5.39| 1.49|  M0III             |
063.606250|-62.473889|1336|   Alp Ret| 27256|     |         |04 14 25.5|-62 28 26| 3.35| 0.91|  G8II-III          |
065.060000|+41.808056|1337|          | 27278|     |         |04 20 14.4|+41 48 29| 5.92| 0.94|  K0III             |
064.006667|-51.486667|1338|   Gam Dor| 27290|     |Gam Dor  |04 16 01.6|-51 29 12| 4.25| 0.30|  F4III             |*
064.858750|+21.142222|1339| 53    Tau| 27295|     |         |04 19 26.1|+21 08 32| 5.35|-0.08|  B9IV              |*
063.702917|-62.191944|1340|          | 27304|     |         |04 14 48.7|-62 11 31| 5.45| 1.10|  K0III             |*
064.902917|+21.773611|1341| 56    Tau| 27309|     |V724 Tau |04 19 36.7|+21 46 25| 5.38|-0.14|  A0pSi             |*
065.465833|+56.506667|1342|          | 27322|     |         |04 21 51.8|+56 30 24| 5.88|     |  A3V               |
